Lot,Area (ft),Parking Group,Parking Spots,Lat,Lon
NE of NE Commuter,234753.94,NE Commuter,,33.21481761,-87.53265371
Cent. of NE Commuter,206558.77,NE Commuter,,33.21481761,-87.53265371
S of NE Commuter,112735.93,NE Commuter,,33.21323355,-87.53354039
Frat of NE Commuter,283463.92,NE Commuter,,33.20918469,-87.53393672
Cyber Hall Parking,97977.49,Faculty,,33.2206871,-87.53704206
Yellow Zones,114833.72,Yellow Residential,,33.21858857,-87.54083291
Bryce Hospital,134000,Faculty,,33.21746613,-87.53632482
West Commuter,185312.76,West Commuter,,33.21268757,-87.55133341
SE Commuter Coleman,212549.1,SE Commuter,,33.20379767,-87.53759569
SE Commuter Law,130968.82,SE Commuter,,33.20379767,-87.53759569
