Download From:
EnergyDirect.com

User Defined Name:,U of A - East Sub
Name on Bill:,UNIVERSITY OF ALABAMA
Doing Business As:,
Address:,398 CAMPUS DR 
Location:,TUSCALOOSA AL 35401
Account Number:,1473423041
Tariff:,LPL-PRI


Interval Data
Demands (kW)
Confidential and Proprietary Information


Date,Time,TOTAL - KW-TOT,Y26166 - KW-CON02,Y26168 - KW-CON01
01/01/2019,12:15 AM,6192,3125,3067
01/01/2019,12:30 AM,6060,3096,2966
01/01/2019,12:45 AM,6120,3125,2995
01/01/2019,01:00 AM,6080,3082,2995
01/01/2019,01:15 AM,6076,3082,2995
01/01/2019,01:30 AM,6032,3096,2938
01/01/2019,01:45 AM,6064,3067,2995
01/01/2019,02:00 AM,6104,3096,3010
01/01/2019,02:15 AM,6004,3053,2952
01/01/2019,02:30 AM,5804,2837,2966
01/01/2019,02:45 AM,5748,2779,2966
01/01/2019,03:00 AM,5788,2837,2952
01/01/2019,03:15 AM,5816,2851,2966
01/01/2019,03:30 AM,5848,2880,2966
01/01/2019,03:45 AM,5904,2923,2981
01/01/2019,04:00 AM,5948,2923,3024
01/01/2019,04:15 AM,5976,2938,3038
01/01/2019,04:30 AM,5932,2894,3038
01/01/2019,04:45 AM,5916,2894,3024
01/01/2019,05:00 AM,5992,2866,3125
01/01/2019,05:15 AM,6048,2866,3182
01/01/2019,05:30 AM,6136,2837,3298
01/01/2019,05:45 AM,6148,2837,3312
01/01/2019,06:00 AM,6220,2851,3370
01/01/2019,06:15 AM,6176,2808,3370
01/01/2019,06:30 AM,6192,2822,3370
01/01/2019,06:45 AM,6180,2779,3398
01/01/2019,07:00 AM,6060,2736,3326
01/01/2019,07:15 AM,6120,2736,3384
01/01/2019,07:30 AM,5904,2650,3254
01/01/2019,07:45 AM,5820,2621,3197
01/01/2019,08:00 AM,5788,2592,3197
01/01/2019,08:15 AM,5760,2592,3168
01/01/2019,08:30 AM,5776,2592,3182
01/01/2019,08:45 AM,5788,2592,3197
01/01/2019,09:00 AM,5816,2621,3197
01/01/2019,09:15 AM,5860,2635,3226
01/01/2019,09:30 AM,5848,2664,3182
01/01/2019,09:45 AM,5904,2678,3226
01/01/2019,10:00 AM,5920,2707,3211
01/01/2019,10:15 AM,6016,2736,3283
01/01/2019,10:30 AM,5948,2750,3197
01/01/2019,10:45 AM,5992,2765,3226
01/01/2019,11:00 AM,6004,2779,3226
01/01/2019,11:15 AM,5948,2779,3168
01/01/2019,11:30 AM,5960,2765,3197
01/01/2019,11:45 AM,5992,2808,3182
01/01/2019,12:00 PM,5976,2794,3182
01/01/2019,12:15 PM,5988,2822,3168
01/01/2019,12:30 PM,5976,2837,3139
01/01/2019,12:45 PM,6036,2837,3197
01/01/2019,01:00 PM,6020,2822,3197
01/01/2019,01:15 PM,6048,2837,3211
01/01/2019,01:30 PM,6004,2822,3182
01/01/2019,01:45 PM,6020,2837,3182
01/01/2019,02:00 PM,6048,2851,3197
01/01/2019,02:15 PM,5960,2779,3182
01/01/2019,02:30 PM,5932,2736,3197
01/01/2019,02:45 PM,5904,2722,3182
01/01/2019,03:00 PM,5860,2678,3182
01/01/2019,03:15 PM,5892,2664,3226
01/01/2019,03:30 PM,5904,2664,3240
01/01/2019,03:45 PM,5904,2664,3240
01/01/2019,04:00 PM,5832,2650,3182
01/01/2019,04:15 PM,5876,2635,3240
01/01/2019,04:30 PM,5844,2606,3240
01/01/2019,04:45 PM,5904,2606,3298
01/01/2019,05:00 PM,6048,2621,3427
01/01/2019,05:15 PM,6164,2650,3514
01/01/2019,05:30 PM,6104,2635,3470
01/01/2019,05:45 PM,6064,2606,3456
01/01/2019,06:00 PM,6092,2606,3485
01/01/2019,06:15 PM,6076,2578,3499
01/01/2019,06:30 PM,6064,2563,3499
01/01/2019,06:45 PM,6004,2549,3456
01/01/2019,07:00 PM,5916,2563,3355
01/01/2019,07:15 PM,5820,2534,3283
01/01/2019,07:30 PM,5844,2534,3312
01/01/2019,07:45 PM,5892,2563,3326
01/01/2019,08:00 PM,5804,2520,3283
01/01/2019,08:15 PM,5816,2506,3312
01/01/2019,08:30 PM,5744,2506,3240
01/01/2019,08:45 PM,5748,2491,3254
01/01/2019,09:00 PM,5660,2477,3182
01/01/2019,09:15 PM,5628,2462,3168
01/01/2019,09:30 PM,5532,2462,3067
01/01/2019,09:45 PM,5544,2462,3082
01/01/2019,10:00 PM,5484,2448,3038
01/01/2019,10:15 PM,5532,2491,3038
01/01/2019,10:30 PM,5484,2462,3024
01/01/2019,10:45 PM,5488,2462,3024
01/01/2019,11:00 PM,5472,2448,3024
01/01/2019,11:15 PM,5428,2448,2981
01/01/2019,11:30 PM,5428,2462,2966
01/01/2019,11:45 PM,5400,2448,2952
01/02/2019,12:00 AM,5428,2434,2995
01/02/2019,12:15 AM,5372,2434,2938
01/02/2019,12:30 AM,5356,2448,2909
01/02/2019,12:45 AM,5300,2419,2880
01/02/2019,01:00 AM,5284,2390,2894
01/02/2019,01:15 AM,5344,2434,2909
01/02/2019,01:30 AM,5312,2405,2909
01/02/2019,01:45 AM,5284,2405,2880
01/02/2019,02:00 AM,5328,2405,2923
01/02/2019,02:15 AM,5328,2419,2909
01/02/2019,02:30 AM,5300,2405,2894
01/02/2019,02:45 AM,5228,2405,2822
01/02/2019,03:00 AM,5268,2419,2851
01/02/2019,03:15 AM,5272,2405,2866
01/02/2019,03:30 AM,5212,2390,2822
01/02/2019,03:45 AM,5284,2376,2909
01/02/2019,04:00 AM,5300,2390,2909
01/02/2019,04:15 AM,5400,2376,3024
01/02/2019,04:30 AM,5560,2390,3168
01/02/2019,04:45 AM,5544,2405,3139
01/02/2019,05:00 AM,5644,2405,3240
01/02/2019,05:15 AM,5672,2362,3312
01/02/2019,05:30 AM,5760,2390,3370
01/02/2019,05:45 AM,5848,2376,3470
01/02/2019,06:00 AM,5932,2390,3542
01/02/2019,06:15 AM,5932,2390,3542
01/02/2019,06:30 AM,5948,2390,3557
01/02/2019,06:45 AM,5932,2362,3571
01/02/2019,07:00 AM,5920,2347,3571
01/02/2019,07:15 AM,5976,2376,3600
01/02/2019,07:30 AM,5976,2347,3629
01/02/2019,07:45 AM,6064,2362,3701
01/02/2019,08:00 AM,6120,2390,3730
01/02/2019,08:15 AM,6148,2347,3802
01/02/2019,08:30 AM,6248,2376,3874
01/02/2019,08:45 AM,6180,2333,3845
01/02/2019,09:00 AM,6248,2362,3888
01/02/2019,09:15 AM,6236,2376,3859
01/02/2019,09:30 AM,6308,2419,3888
01/02/2019,09:45 AM,6336,2419,3917
01/02/2019,10:00 AM,6304,2390,3917
01/02/2019,10:15 AM,6324,2390,3931
01/02/2019,10:30 AM,6380,2362,4018
01/02/2019,10:45 AM,6376,2405,3974
01/02/2019,11:00 AM,6368,2419,3946
01/02/2019,11:15 AM,6320,2390,3931
01/02/2019,11:30 AM,6336,2419,3917
01/02/2019,11:45 AM,6392,2405,3989
01/02/2019,12:00 PM,6296,2390,3902
01/02/2019,12:15 PM,6336,2419,3917
01/02/2019,12:30 PM,6304,2434,3874
01/02/2019,12:45 PM,6280,2419,3859
01/02/2019,01:00 PM,6320,2419,3902
01/02/2019,01:15 PM,6324,2419,3902
01/02/2019,01:30 PM,6276,2434,3845
01/02/2019,01:45 PM,6424,2506,3917
01/02/2019,02:00 PM,6424,2506,3917
01/02/2019,02:15 PM,6348,2434,3917
01/02/2019,02:30 PM,6408,2434,3974
01/02/2019,02:45 PM,6436,2462,3974
01/02/2019,03:00 PM,6424,2448,3974
01/02/2019,03:15 PM,6408,2448,3960
01/02/2019,03:30 PM,6452,2448,4003
01/02/2019,03:45 PM,6380,2448,3931
01/02/2019,04:00 PM,6408,2448,3960
01/02/2019,04:15 PM,6376,2419,3960
01/02/2019,04:30 PM,6408,2434,3974
01/02/2019,04:45 PM,6368,2405,3960
01/02/2019,05:00 PM,6420,2419,4003
01/02/2019,05:15 PM,6324,2390,3931
01/02/2019,05:30 PM,6264,2390,3874
01/02/2019,05:45 PM,6160,2390,3773
01/02/2019,06:00 PM,6152,2376,3773
01/02/2019,06:15 PM,6132,2376,3758
01/02/2019,06:30 PM,6120,2362,3758
