Download From:
EnergyDirect.com

User Defined Name:,U of A - North Sub
Name on Bill:,UNIVERSITY OF ALABAMA
Doing Business As:,
Address:,131 OLD HACKBERRY LN, NORTH CAMPUS 
Location:,TUSCALOOSA AL 35401
Account Number:,4407169004
Tariff:,LPL-PRI


Interval Data
Demands (kW)
Confidential and Proprietary Information


Date,Time,TOTAL - KW-TOT,Y26223 - KW-CON02,Y26236 - KW-CON01
01/01/2019,12:15 AM,7204,3504,3701
01/01/2019,12:30 AM,7156,3456,3701
01/01/2019,12:45 AM,7172,3456,3715
01/01/2019,01:00 AM,7172,3456,3715
01/01/2019,01:15 AM,7176,3504,3672
01/01/2019,01:30 AM,7144,3456,3686
01/01/2019,01:45 AM,7080,3408,3672
01/01/2019,02:00 AM,7168,3456,3715
01/01/2019,02:15 AM,7088,3456,3629
01/01/2019,02:30 AM,6944,3360,3586
01/01/2019,02:45 AM,6908,3408,3499
01/01/2019,03:00 AM,6936,3408,3528
01/01/2019,03:15 AM,6888,3360,3528
01/01/2019,03:30 AM,6920,3408,3514
01/01/2019,03:45 AM,6948,3360,3586
01/01/2019,04:00 AM,6936,3408,3528
01/01/2019,04:15 AM,6972,3360,3614
01/01/2019,04:30 AM,7008,3408,3600
01/01/2019,04:45 AM,6980,3408,3571
01/01/2019,05:00 AM,6944,3360,3586
01/01/2019,05:15 AM,6968,3408,3557
01/01/2019,05:30 AM,6924,3312,3614
01/01/2019,05:45 AM,6932,3360,3571
01/01/2019,06:00 AM,6988,3360,3629
01/01/2019,06:15 AM,6912,3312,3600
01/01/2019,06:30 AM,6960,3360,3600
01/01/2019,06:45 AM,6916,3360,3557
01/01/2019,07:00 AM,6872,3312,3557
01/01/2019,07:15 AM,6964,3408,3557
01/01/2019,07:30 AM,7016,3504,3514
01/01/2019,07:45 AM,6976,3504,3470
01/01/2019,08:00 AM,6908,3408,3499
01/01/2019,08:15 AM,6912,3456,3456
01/01/2019,08:30 AM,6880,3456,3427
01/01/2019,08:45 AM,6900,3456,3442
01/01/2019,09:00 AM,6944,3504,3442
01/01/2019,09:15 AM,6856,3456,3398
01/01/2019,09:30 AM,6820,3408,3413
01/01/2019,09:45 AM,6808,3408,3398
01/01/2019,10:00 AM,6816,3360,3456
01/01/2019,10:15 AM,6832,3408,3427
01/01/2019,10:30 AM,6864,3408,3456
01/01/2019,10:45 AM,6852,3408,3442
01/01/2019,11:00 AM,6848,3408,3442
01/01/2019,11:15 AM,6852,3408,3442
01/01/2019,11:30 AM,6876,3408,3470
01/01/2019,11:45 AM,6864,3408,3456
01/01/2019,12:00 PM,6816,3360,3456
01/01/2019,12:15 PM,6880,3408,3470
01/01/2019,12:30 PM,6908,3408,3499
01/01/2019,12:45 PM,6936,3408,3528
01/01/2019,01:00 PM,6940,3456,3485
01/01/2019,01:15 PM,6844,3360,3485
01/01/2019,01:30 PM,6892,3408,3485
01/01/2019,01:45 PM,6924,3408,3514
01/01/2019,02:00 PM,6920,3408,3514
01/01/2019,02:15 PM,6908,3408,3499
01/01/2019,02:30 PM,6908,3408,3499
01/01/2019,02:45 PM,6876,3408,3470
01/01/2019,03:00 PM,6864,3408,3456
01/01/2019,03:15 PM,6912,3456,3456
01/01/2019,03:30 PM,7052,3552,3499
01/01/2019,03:45 PM,7024,3552,3470
01/01/2019,04:00 PM,7008,3552,3456
01/01/2019,04:15 PM,6988,3504,3485
01/01/2019,04:30 PM,7032,3504,3528
01/01/2019,04:45 PM,7112,3600,3514
01/01/2019,05:00 PM,7156,3600,3557
01/01/2019,05:15 PM,7128,3600,3528
01/01/2019,05:30 PM,6960,3504,3456
01/01/2019,05:45 PM,6996,3552,3442
01/01/2019,06:00 PM,6932,3504,3427
01/01/2019,06:15 PM,6880,3456,3427
01/01/2019,06:30 PM,6912,3456,3456
01/01/2019,06:45 PM,6852,3408,3442
01/01/2019,07:00 PM,6828,3360,3470
01/01/2019,07:15 PM,6760,3360,3398
01/01/2019,07:30 PM,6740,3312,3427
01/01/2019,07:45 PM,6680,3312,3370
01/01/2019,08:00 PM,6756,3312,3442
01/01/2019,08:15 PM,6660,3264,3398
01/01/2019,08:30 PM,6712,3312,3398
01/01/2019,08:45 PM,6648,3264,3384
01/01/2019,09:00 PM,6564,3168,3398
01/01/2019,09:15 PM,6588,3216,3370
01/01/2019,09:30 PM,6584,3216,3370
01/01/2019,09:45 PM,6508,3168,3341
01/01/2019,10:00 PM,6648,3264,3384
01/01/2019,10:15 PM,6568,3168,3398
01/01/2019,10:30 PM,6616,3216,3398
01/01/2019,10:45 PM,6520,3168,3355
01/01/2019,11:00 PM,6552,3168,3384
01/01/2019,11:15 PM,6464,3120,3341
01/01/2019,11:30 PM,6460,3120,3341
01/01/2019,11:45 PM,6388,3120,3269
01/02/2019,12:00 AM,6404,3120,3283
01/02/2019,12:15 AM,6388,3120,3269
01/02/2019,12:30 AM,6360,3120,3240
01/02/2019,12:45 AM,6328,3072,3254
01/02/2019,01:00 AM,6328,3120,3211
