utc_timestamp,cet_cest_timestamp,DE_solar_generation_actual,DE_wind_generation_actual
2011-12-31T23:00:00Z,2012-01-01T00:00:00+0100,,4576
2012-01-01T00:00:00Z,2012-01-01T01:00:00+0100,,4871
2012-01-01T01:00:00Z,2012-01-01T02:00:00+0100,,5409
2012-01-01T02:00:00Z,2012-01-01T03:00:00+0100,,6094
2012-01-01T03:00:00Z,2012-01-01T04:00:00+0100,,6734
2012-01-01T04:00:00Z,2012-01-01T05:00:00+0100,,7370
2012-01-01T05:00:00Z,2012-01-01T06:00:00+0100,,8086
2012-01-01T06:00:00Z,2012-01-01T07:00:00+0100,,8695
2012-01-01T07:00:00Z,2012-01-01T08:00:00+0100,80,9684
2012-01-01T08:00:00Z,2012-01-01T09:00:00+0100,414,10580
2012-01-01T09:00:00Z,2012-01-01T10:00:00+0100,854,10796
2012-01-01T10:00:00Z,2012-01-01T11:00:00+0100,1141,10497
2012-01-01T11:00:00Z,2012-01-01T12:00:00+0100,1321,9398
2012-01-01T12:00:00Z,2012-01-01T13:00:00+0100,1327,8755
2012-01-01T13:00:00Z,2012-01-01T14:00:00+0100,1014,8017
2012-01-01T14:00:00Z,2012-01-01T15:00:00+0100,410,7679
2012-01-01T15:00:00Z,2012-01-01T16:00:00+0100,44,7266
2012-01-01T16:00:00Z,2012-01-01T17:00:00+0100,0,7754
2012-01-01T17:00:00Z,2012-01-01T18:00:00+0100,0,8584
2012-01-01T18:00:00Z,2012-01-01T19:00:00+0100,0,9797
2012-01-01T19:00:00Z,2012-01-01T20:00:00+0100,0,11241
2012-01-01T20:00:00Z,2012-01-01T21:00:00+0100,0,13108
2012-01-01T21:00:00Z,2012-01-01T22:00:00+0100,0,15372
2012-01-01T22:00:00Z,2012-01-01T23:00:00+0100,0,15896
2012-01-01T23:00:00Z,2012-01-02T00:00:00+0100,0,15782
2012-01-02T00:00:00Z,2012-01-02T01:00:00+0100,0,15768
2012-01-02T01:00:00Z,2012-01-02T02:00:00+0100,0,15160
2012-01-02T02:00:00Z,2012-01-02T03:00:00+0100,0,14547
2012-01-02T03:00:00Z,2012-01-02T04:00:00+0100,0,13156
2012-01-02T04:00:00Z,2012-01-02T05:00:00+0100,0,11414
2012-01-02T05:00:00Z,2012-01-02T06:00:00+0100,0,9489
2012-01-02T06:00:00Z,2012-01-02T07:00:00+0100,0,7588
2012-01-02T07:00:00Z,2012-01-02T08:00:00+0100,81,5670
2012-01-02T08:00:00Z,2012-01-02T09:00:00+0100,480,4591
2012-01-02T09:00:00Z,2012-01-02T10:00:00+0100,928,4558
2012-01-02T10:00:00Z,2012-01-02T11:00:00+0100,1256,4592
2012-01-02T11:00:00Z,2012-01-02T12:00:00+0100,1364,5099
2012-01-02T12:00:00Z,2012-01-02T13:00:00+0100,1294,5586
2012-01-02T13:00:00Z,2012-01-02T14:00:00+0100,836,5652
2012-01-02T14:00:00Z,2012-01-02T15:00:00+0100,307,6258
2012-01-02T15:00:00Z,2012-01-02T16:00:00+0100,28,6828
2012-01-02T16:00:00Z,2012-01-02T17:00:00+0100,0,6946
2012-01-02T17:00:00Z,2012-01-02T18:00:00+0100,0,7682
2012-01-02T18:00:00Z,2012-01-02T19:00:00+0100,0,8558
2012-01-02T19:00:00Z,2012-01-02T20:00:00+0100,0,9162
2012-01-02T20:00:00Z,2012-01-02T21:00:00+0100,0,9263
2012-01-02T21:00:00Z,2012-01-02T22:00:00+0100,0,9318
2012-01-02T22:00:00Z,2012-01-02T23:00:00+0100,0,10018
2012-01-02T23:00:00Z,2012-01-03T00:00:00+0100,0,10424
2012-01-03T00:00:00Z,2012-01-03T01:00:00+0100,0,10726
2012-01-03T01:00:00Z,2012-01-03T02:00:00+0100,0,11296
2012-01-03T02:00:00Z,2012-01-03T03:00:00+0100,0,11717
2012-01-03T03:00:00Z,2012-01-03T04:00:00+0100,0,13085
2012-01-03T04:00:00Z,2012-01-03T05:00:00+0100,0,14546
2012-01-03T05:00:00Z,2012-01-03T06:00:00+0100,0,16058
2012-01-03T06:00:00Z,2012-01-03T07:00:00+0100,0,17662
2012-01-03T07:00:00Z,2012-01-03T08:00:00+0100,249,19277
2012-01-03T08:00:00Z,2012-01-03T09:00:00+0100,2001,19984
2012-01-03T09:00:00Z,2012-01-03T10:00:00+0100,4312,21242
2012-01-03T10:00:00Z,2012-01-03T11:00:00+0100,5520,22179
2012-01-03T11:00:00Z,2012-01-03T12:00:00+0100,5252,22916
2012-01-03T12:00:00Z,2012-01-03T13:00:00+0100,3977,23427
2012-01-03T13:00:00Z,2012-01-03T14:00:00+0100,2468,23759
2012-01-03T14:00:00Z,2012-01-03T15:00:00+0100,838,23837
2012-01-03T15:00:00Z,2012-01-03T16:00:00+0100,62,24022
2012-01-03T16:00:00Z,2012-01-03T17:00:00+0100,0,23637
2012-01-03T17:00:00Z,2012-01-03T18:00:00+0100,0,23616
2012-01-03T18:00:00Z,2012-01-03T19:00:00+0100,0,22743
2012-01-03T19:00:00Z,2012-01-03T20:00:00+0100,0,22157
2012-01-03T20:00:00Z,2012-01-03T21:00:00+0100,0,22061
2012-01-03T21:00:00Z,2012-01-03T22:00:00+0100,0,21855
2012-01-03T22:00:00Z,2012-01-03T23:00:00+0100,0,21093
2012-01-03T23:00:00Z,2012-01-04T00:00:00+0100,0,20573
2012-01-04T00:00:00Z,2012-01-04T01:00:00+0100,0,19994
2012-01-04T01:00:00Z,2012-01-04T02:00:00+0100,0,19372
2012-01-04T02:00:00Z,2012-01-04T03:00:00+0100,0,18818
2012-01-04T03:00:00Z,2012-01-04T04:00:00+0100,0,18291
